size_label,N,bytes,rep,total_s
small,1000000,43977074,1,0.477142
small,1000000,43977074,2,0.477171
small,1000000,43977074,3,0.475580
medium,5000000,222880466,1,2.384105
medium,5000000,222880466,2,2.384604
medium,5000000,222880466,3,2.380230
large,20000000,899000733,1,9.572210
large,20000000,899000733,2,9.542160
large,20000000,899000733,3,9.551914
xlarge,50000000,2256997981,1,42.953911
xlarge,50000000,2256997981,2,24.301338
xlarge,50000000,2256997981,3,24.271112
