run,tag,bytes,maps_req,reducers,stages,combiner,maps_launched,upload_s,stage1_s,final_s,total_s,map_output_records,shuffle_bytes,map_task_ms,reduce_task_ms
wx_1789498739_1149502,medium,222880466,16,4,2,1,16,1.428863547,23.560559890,16.405518802,42.897369463,101153,2841761,164452,9418
wx_1789498784_1153373,medium,222880466,16,4,2,1,16,1.420334494,24.761102182,14.739432264,42.451210377,101153,2841761,170156,7593
wx_1789498830_1156716,medium,222880466,32,1,2,1,32,1.446512108,31.703063544,15.427565919,50.063429328,202305,5616406,622173,2091
wx_1789498883_1162477,medium,222880466,32,1,2,1,32,1.436936374,31.742066062,14.396231563,49.092411345,202305,5616406,607738,1850
wx_1789498935_1167739,medium,222880466,32,4,2,1,32,1.412277171,32.749703411,15.396088767,51.101124236,202305,5616982,635880,8784
wx_1789498989_1174343,medium,222880466,32,4,2,1,32,1.405359188,32.741242933,14.416927443,50.107737502,202305,5616982,641997,9537
wx_1789499041_1180746,medium,222880466,8,1,1,1,8,1.419366748,0,19.505259622,22.416150068,50577,1464793,43501,1910
wx_1789499067_1182294,medium,222880466,8,4,2,0,8,1.422615158,19.472045475,15.353133623,37.767270626,50577,1464937,43444,7538
wx_1789499107_1184105,large,899000733,2,1,2,1,2,1.444213097,23.620027879,15.474144305,42.112056219,30165,914468,18935,2030
wx_1789499152_1184811,large,899000733,2,1,2,1,2,1.459406771,23.507838901,15.349187891,41.808269638,30165,914468,19056,2082
wx_1789499197_1185488,large,899000733,2,4,2,1,2,1.434600251,22.454529304,15.408479372,40.852335515,30165,914504,16957,7475
wx_1789499241_1186827,large,899000733,2,4,2,1,2,1.421032578,24.451507102,15.516352101,42.942106743,30165,914504,18815,7334
wx_1789499287_1187871,large,899000733,4,1,2,1,4,1.407814728,19.395712462,16.341802226,38.647981450,60329,1793384,22289,1911
wx_1789499328_1189349,large,899000733,4,1,2,1,4,1.409079970,20.424033126,16.435206534,39.872960391,60329,1793384,24753,1688
wx_1789499371_1190855,large,899000733,4,4,2,1,4,1.690729973,23.017423909,14.995613529,41.490514533,60329,1793456,31449,8582
wx_1789499416_1192431,large,899000733,4,4,2,1,4,1.694652042,22.969417801,15.928529809,42.433017573,60329,1793456,33362,8736
wx_1789499462_1194146,large,899000733,8,1,2,1,8,1.688742085,25.103275734,18.036340548,46.701177534,120657,3576576,79278,2435
wx_1789499512_1196055,large,899000733,8,1,2,1,8,1.699095400,24.149632945,16.980002620,44.764472244,120657,3576576,79695,2324
wx_1789499560_1197748,large,899000733,8,4,2,1,8,1.695277945,26.207418809,15.946083135,45.675776629,120657,3576720,84482,8258
wx_1789499609_1199809,large,899000733,8,4,2,1,8,1.721904301,25.227358653,16.662798604,45.106415284,120657,3576720,82397,9906
wx_1789499658_1202156,large,899000733,16,1,2,1,16,1.435188559,25.642098121,15.353550091,44.024412083,241313,7137930,194286,2010
wx_1789499704_1205350,large,899000733,16,1,2,1,16,1.378227761,25.750225078,14.411789202,43.102848073,241313,7137930,192142,2270
wx_1789499750_1208174,large,899000733,16,4,2,1,16,1.384875971,25.659345205,15.345644452,43.957773226,241313,7138218,203455,10244
wx_1789499797_1211850,large,899000733,16,4,2,1,16,1.407713093,26.652190480,16.488252558,46.400369440,241313,7138218,201202,12707
wx_1789499847_1216261,large,899000733,32,1,2,1,32,1.648027038,44.645166837,15.103855049,63.132683957,482625,13809547,934721,3473
wx_1789499913_1222169,large,899000733,32,1,2,1,32,1.707494194,42.823510148,17.972742254,64.426038768,482625,13809547,961901,2314
wx_1789499981_1228192,large,899000733,32,4,2,1,32,1.742292492,45.704441197,16.984147100,66.222467828,482625,13810123,1002263,13200
wx_1789500051_1234849,large,899000733,32,4,2,1,32,1.690415889,46.896751653,18.016579590,68.493235677,482625,13810123,990006,12417
wx_1789500123_1242017,large,899000733,8,1,1,1,8,1.684239875,0,21.963722787,25.195981038,120657,3576576,56907,2173
wx_1789500151_1243720,large,899000733,8,4,2,0,8,1.425354991,21.548221587,14.377142010,38.866559822,120657,3576720,57770,7611
wx_1789500193_1245682,xlarge,2256997981,2,1,2,1,2,1.422745610,34.507837360,14.391692111,51.821765592,60325,1857348,42916,1629
wx_1789500247_1246676,xlarge,2256997981,2,1,2,1,2,1.400795387,34.552280503,16.354358785,53.904160983,60325,1857348,41842,2052
wx_1789500304_1247482,xlarge,2256997981,2,4,2,1,2,1.410548217,34.557462014,15.395075612,52.880123317,60325,1857384,42981,7331
wx_1789500360_1249000,xlarge,2256997981,2,4,2,1,2,1.441039475,34.573154022,14.447449770,52.003222389,60325,1857384,41938,7417
wx_1789500415_1250049,xlarge,2256997981,4,1,2,1,4,1.506222963,25.479983811,14.390463063,42.840953983,120649,3597166,44589,2103
wx_1789500461_1251232,xlarge,2256997981,4,1,2,1,4,1.395391605,25.441388947,16.474195708,44.843529715,120649,3597166,44188,2215
wx_1789500508_1252609,xlarge,2256997981,4,4,2,1,4,1.408181503,24.413950859,15.436525359,42.832208212,120649,3597238,45261,7992
wx_1789500554_1254305,xlarge,2256997981,4,4,2,1,4,1.396264704,26.436325330,15.345060309,44.727698125,120649,3597238,45787,7565
